product_category_name,state,demand_freq,supply_freq,sale_gap,sale_gap_abs
Art,AM,1,0,1,1
Art,AP,2,0,2,2
Art,BA,10,0,10,10
Art,DF,5,1,4,4
Art,ES,1,0,1,1
Art,GO,4,1,3,3
Art,MG,18,10,8,8
Art,MS,1,0,1,1
Art,MT,1,0,1,1
Art,PA,2,0,2,2
Art,PB,1,0,1,1
Art,PE,1,0,1,1
Art,PI,1,0,1,1
Art,PR,8,4,4,4
Art,RJ,32,6,26,26
Art,RN,1,0,1,1
Art,RO,2,0,2,2
Art,RS,9,1,8,8
Art,SC,6,14,-8,8
Art,SP,92,161,-69,69
Christmas articles,AC,1,0,1,1
Christmas articles,BA,8,0,8,8
Christmas articles,CE,2,0,2,2
Christmas articles,DF,5,0,5,5
Christmas articles,ES,2,0,2,2
Christmas articles,GO,3,0,3,3
Christmas articles,MA,1,0,1,1
Christmas articles,MG,18,17,1,1
Christmas articles,MS,1,0,1,1
Christmas articles,MT,1,0,1,1
Christmas articles,PA,1,0,1,1
Christmas articles,PE,4,0,4,4
Christmas articles,PR,6,9,-3,3
Christmas articles,RJ,12,7,5,5
Christmas articles,RN,1,0,1,1
Christmas articles,RO,2,0,2,2
Christmas articles,RS,5,0,5,5
Christmas articles,SC,11,6,5,5
Christmas articles,SP,44,89,-45,45
agro_industria_e_comercio,AL,1,0,1,1
agro_industria_e_comercio,AP,1,0,1,1
agro_industria_e_comercio,BA,3,0,3,3
agro_industria_e_comercio,CE,2,1,1,1
agro_industria_e_comercio,ES,2,0,2,2
agro_industria_e_comercio,GO,6,0,6,6
agro_industria_e_comercio,MA,1,0,1,1
agro_industria_e_comercio,MG,14,3,11,11
agro_industria_e_comercio,MS,3,0,3,3
agro_industria_e_comercio,MT,2,0,2,2
agro_industria_e_comercio,PA,2,0,2,2
agro_industria_e_comercio,PB,2,0,2,2
agro_industria_e_comercio,PE,5,0,5,5
agro_industria_e_comercio,PI,3,0,3,3
agro_industria_e_comercio,PR,12,73,-61,61
agro_industria_e_comercio,RJ,25,2,23,23
agro_industria_e_comercio,RO,1,0,1,1
agro_industria_e_comercio,RS,9,13,-4,4
